2022/07/14 13:46:50 pMyThingName = Thing_cardWriterV2_1d556f0a-828c-4762-91fb-dc47119380ea
2022/07/14 13:46:51 Shadow Connect ok
2022/07/14 13:46:52 Shadow delta ok
2022/07/14 13:46:53 payload = JOB_GET_PENDING_TOPIC callback
2022/07/14 13:46:53 JOB_NOTIFY_NEXT_TOPIC / JOB_DESCRIBE_TOPIC($next) callback
2022/07/14 13:46:53 payload = {"timestamp":1657777613,"execution":{"jobId":"71062ef1-76b2-48fe-a1a6-0759d04d3f59","status":"QUEUED","queuedAt":1657612063,"lastUpdatedAt":1657612063,"versionNumber":1,"executionNumber":1,"jobDocument":[{"fileLocation":{"s3Location":{"bucket":"meican-iot-prod","key":"ota/roms/mct_dm2-0.0.9-9.zip"}},"fileName":"mct_dm2-0.0.9-9.zip","fileVersion":"0.0.9","tagSet":{},"downloadPath":"https://s3.cn-north-1.amazonaws.com.cn/meican-iot-prod/ota/roms/mct_dm2-0.0.9-9.zip"}]}}
2022/07/14 13:47:02 JOB_UPDATE_TOPIC / accepted callback
2022/07/14 13:47:04 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:05 JOB_NOTIFY_NEXT_TOPIC / JOB_DESCRIBE_TOPIC($next) callback
2022/07/14 13:47:05 payload = {"timestamp":1657777623}59/update/accepted{"timestamp":1657777623}2-48fe-a1a6-0759d04d3f59","status":"QUEUED","queuedAt":1657612063,"lastUpdatedAt":1657612063,"versionNumber":1,"executionNumber":1,"jobDocument":[{"fileLocation":{"s3Location":{"bucket":"meican-iot-prod","key":"ota/roms/mct_dm2-0.0.9-9.zip"}},"fileName":"mct_dm2-0.0.9-9.zip","fileVersion":"0.0.9","tagSet":{},"downloadPath":"https://s3.cn-north-1.amazonaws.com.cn/meican-iot-prod/ota/roms/mct_dm2-0.0.9-9.zip"}]}}
2022/07/14 13:47:05 shadow pReceivedJsonDocument 数据 = {"state":{"desired":{"sn":{"sn":"DM2A205139017","code":"476017"},"restaurantID":8757,"menuUpdateTime":1656658619000},"reported":{"menuUpdateTime":1656658619000,"romVersion":"MCT_DM2_0.0.9","sn":{"sn":"DM2A205139017","code":"476017"},"restaurantID":8757}},"metadata":{"desired":{"sn":{"sn":{"timestamp":1655447709},"code":{"timestamp":1655447709}},"restaurantID":{"timestamp":1656038544},"menuUpdateTime":{"timestamp":1656989981}},"reported":{"menuUpdateTime":{"timestamp":1657508854},"romVersion":{"timestamp":1657508854},"sn":{"sn":{"timestamp":1655447710},"code":{"timestamp":1655447710}},"restaurantID":{"timestamp":1656038562}}},"version":71,"timestamp":1657777625,"clientToken":"1d556f0a-828c-4762-91fb-dc47119380ea-0"}
2022/07/14 13:47:07 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:08 romVersion Update Accepted !!
2022/07/14 13:47:08 MenuUpdateTime Update Accepted !!
2022/07/14 13:47:08 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:10 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:11 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:12 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:13 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:14 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:16 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:17 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:18 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:19 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:21 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:22 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:23 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:24 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:25 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:27 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:28 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:29 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:30 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:31 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:33 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:34 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:35 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:36 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:38 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:39 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:40 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:41 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:42 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:44 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:45 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:46 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:47 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:48 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:50 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:51 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:52 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:53 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:55 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:56 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:57 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:58 mqttClient.clientStatus.clientState = 3
2022/07/14 13:47:59 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:01 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:02 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:03 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:04 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:05 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:07 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:08 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:09 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:10 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:12 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:13 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:14 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:15 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:16 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:18 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:19 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:20 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:21 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:22 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:24 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:25 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:26 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:27 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:29 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:30 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:31 mqttClient.clientStatus.clientState = 3
2022/07/14 13:48:32 mqttClient.clientStatus.clientState = 3
