2022/08/19 11:45:03 pMyThingName = Thing_cardWriterV2_d18b1901-f34b-42aa-9fb4-57bf072f0b9c
2022/08/19 11:45:04 Shadow Connect ok
2022/08/19 11:45:04 Shadow delta ok
2022/08/19 11:45:05 payload = JOB_GET_PENDING_TOPIC callback
2022/08/19 11:45:08 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:09 shadow pReceivedJsonDocument 数据 = {"state":{"desired":{"sn":{"sn":"DM2A205139017","code":"476017"},"restaurantID":8757,"menuUpdateTime":1660126704000},"reported":{"menuUpdateTime":1660126704000,"romVersion":"MCT_DM2_0.0.0","sn":{"sn":"DM2A205139017","code":"476017"},"restaurantID":8757}},"metadata":{"desired":{"sn":{"sn":{"timestamp":1660198809},"code":{"timestamp":1660198809}},"restaurantID":{"timestamp":1660276636},"menuUpdateTime":{"timestamp":1660198961}},"reported":{"menuUpdateTime":{"timestamp":1660609228},"romVersion":{"timestamp":1660609228},"sn":{"sn":{"timestamp":1660198809},"code":{"timestamp":1660198809}},"restaurantID":{"timestamp":1660276654}}},"version":216,"timestamp":1660880709,"clientToken":"d18b1901-f34b-42aa-9fb4-57bf072f0b9c-0"}
2022/08/19 11:45:11 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:12 MenuUpdateTime Update Accepted !!
2022/08/19 11:45:12 romVersion Update Accepted !!
2022/08/19 11:45:12 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:14 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:15 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:16 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:17 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:18 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:20 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:21 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:22 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:23 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:25 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:26 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:27 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:28 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:29 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:31 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:32 mqttClient.clientStatus.clientState = 3
