2022/08/05 12:22:07 writeplatemenu write ok = 0, dish_id = 264
2022/08/05 12:22:08 read writeplatemenu ok err = 0, dishMsg.dishid = 264
2022/08/05 12:22:10 read writeplatemenu ok err = 0, dishMsg.dishid = 264
2022/08/05 12:22:13 read writeplatemenu ok err = 0, dishMsg.dishid = 264
2022/08/05 12:22:19 read writeplatemenu ok err = 0, dishMsg.dishid = 264
2022/08/05 12:22:21 read writeplatemenu ok err = 0, dishMsg.dishid = 264
2022/08/05 12:22:23 read writeplatemenu ok err = 0, dishMsg.dishid = 264
2022/08/05 12:22:43 writeplatemenu write ok = 0, dish_id = 268
2022/08/05 12:22:45 read writeplatemenu ok err = 0, dishMsg.dishid = 268
2022/08/05 12:22:47 read writeplatemenu ok err = 0, dishMsg.dishid = 268
2022/08/05 13:50:46 read writeplatemenu ok err = 0, dishMsg.dishid = 268
2022/08/05 13:52:00 writeplatemenu write ok = 0, dish_id = 264
2022/08/05 13:52:09 writeplatemenu write ok = 0, dish_id = 267
2022/08/05 13:52:18 writeplatemenu write ok = 0, dish_id = 268
2022/08/05 13:52:26 writeplatemenu write ok = 0, dish_id = 259
2022/08/05 13:52:32 writeplatemenu write ok = 0, dish_id = 259
2022/08/05 13:52:43 writeplatemenu write ok = 0, dish_id = 259
2022/08/05 13:52:49 writeplatemenu write ok = 0, dish_id = 258
2022/08/05 13:52:57 writeplatemenu write ok = 0, dish_id = 264
2022/08/05 13:53:02 writeplatemenu write ok = 0, dish_id = 267
2022/08/05 13:53:07 writeplatemenu write ok = 0, dish_id = 268
2022/08/05 13:53:12 writeplatemenu write ok = 0, dish_id = 258
2022/08/05 13:53:16 writeplatemenu write ok = 0, dish_id = 259
2022/08/05 13:53:21 writeplatemenu write ok = 0, dish_id = 260
2022/08/05 13:53:26 writeplatemenu write ok = 0, dish_id = 263
2022/08/05 13:53:32 writeplatemenu write ok = 0, dish_id = 260
2022/08/05 13:53:37 writeplatemenu write ok = 0, dish_id = 262
2022/08/05 13:53:46 writeplatemenu write ok = 0, dish_id = 257
2022/08/05 13:53:51 writeplatemenu write ok = 0, dish_id = 266
2022/08/05 13:53:56 writeplatemenu write ok = 0, dish_id = 265
2022/08/05 13:54:03 writeplatemenu write ok = 0, dish_id = 259
2022/08/05 13:54:07 writeplatemenu write ok = 0, dish_id = 265
2022/08/05 14:00:10 writeplatemenu write ok = 0, dish_id = 258
2022/08/05 14:00:18 writeplatemenu write ok = 0, dish_id = 263
2022/08/05 14:00:25 writeplatemenu write ok = 0, dish_id = 262
2022/08/05 14:00:34 writeplatemenu write ok = 0, dish_id = 262
2022/08/05 14:00:41 writeplatemenu write ok = 0, dish_id = 265
2022/08/05 14:00:49 writeplatemenu write ok = 0, dish_id = 268
2022/08/05 17:07:44 writeplatemenu write ok = 0, dish_id = 264
2022/08/05 17:07:49 writeplatemenu write ok = 0, dish_id = 264
2022/08/05 17:08:03 writeplatemenu write ok = 0, dish_id = 268
2022/08/05 17:08:08 writeplatemenu write ok = 0, dish_id = 259
2022/08/05 17:08:20 writeplatemenu write ok = 0, dish_id = 259
2022/08/05 17:08:25 writeplatemenu write ok = 0, dish_id = 266
2022/08/05 17:09:29 writeplatemenu write ok = 0, dish_id = 258
2022/08/05 17:09:35 writeplatemenu write ok = 0, dish_id = 267
2022/08/05 17:09:43 writeplatemenu write ok = 0, dish_id = 267
2022/08/05 17:09:47 read writeplatemenu ok err = 0, dishMsg.dishid = 267
2022/08/05 17:09:48 read writeplatemenu ok err = 0, dishMsg.dishid = 267
2022/08/05 17:09:50 read writeplatemenu ok err = 0, dishMsg.dishid = 267
2022/08/05 17:09:52 read writeplatemenu ok err = 0, dishMsg.dishid = 267
2022/08/05 17:09:55 read writeplatemenu ok err = 0, dishMsg.dishid = 267
2022/08/05 17:10:04 read writeplatemenu ok err = 0, dishMsg.dishid = 267
2022/08/05 17:10:08 read writeplatemenu ok err = 0, dishMsg.dishid = 267
2022/08/05 17:10:28 read writeplatemenu ok err = 0, dishMsg.dishid = 267
2022/08/05 17:10:55 read writeplatemenu ok err = 0, dishMsg.dishid = 267
2022/08/05 17:10:57 read writeplatemenu ok err = 0, dishMsg.dishid = 267
2022/08/05 17:10:59 read writeplatemenu ok err = 0, dishMsg.dishid = 267
2022/08/05 17:11:01 read writeplatemenu ok err = 0, dishMsg.dishid = 267
2022/08/05 17:11:03 read writeplatemenu ok err = 0, dishMsg.dishid = 267
2022/08/05 17:15:19 read writeplatemenu ok err = 0, dishMsg.dishid = 267
2022/08/05 17:29:06 writeplatemenu write ok = 0, dish_id = 258
2022/08/05 17:29:20 writeplatemenu write ok = 0, dish_id = 267
2022/08/05 17:56:17 writeplatemenu write ok = 0, dish_id = 264
